EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,307982,287423,359152
efficiency,1,0.1504496,0.1213215,0.1837524
efficiency,3,0.1541205,0.1382019,0.1702241
efficiency,6,0.1033762,0.0976407,0.108287
efficiency,12,0.0485246,0.0464961,0.0503872
efficiency,24,0.0224368,0.0211574,0.0235728
efficiency,1000000,0.0129448,0.0111096,0.0146402
Discontinuations_due_to_AEs,ALL,0.0028209,0.0018984,0.0041115
Neuropsychiatric_Aes_any_grade,ALL,0.0020654,0,0.019317
Sleep_Disorders_any_grade,ALL,0.0021362,0.0007935,0.0050089
Treatment_related_SAEs,ALL,0.0001392,2.44e-05,0.0006418
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
