EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,538294,510413,709718
efficiency,1,0.746678406,0.704164135,0.785634461
efficiency,3,0.870278551,0.843417573,0.893641447
efficiency,6,0.9039337,0.871583547,0.929393416
efficiency,12,0.865973388,0.841738965,0.88637297
efficiency,24,0.833249116,0.791073124,0.867867868
efficiency,1000000,0.656327106,0,0.999320265
Discontinuations_due_to_AEs,ALL,0.043062201,0.028638419,0.065269944
Neuropsychiatric_Aes_any_grade,ALL,0.10739014,0.050757185,0.219191634
Sleep_Disorders_any_grade,ALL,0.095646842,0.045307443,0.18101055
Treatment_related_SAEs,ALL,0.005674928,0.001534228,0.018105182
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
