EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,108689,98964,130984
efficiency,1,0.1213215,0.0851279,0.1695093
efficiency,3,0.1514628,0.1346642,0.1683241
efficiency,6,0.0979753,0.0906921,0.1035745
efficiency,12,0.0464961,0.0439826,0.0487343
efficiency,24,0.0206477,0.0189125,0.0221408
efficiency,1000000,0.0113547,0.0087214,0.0137099
Treatment_related_SAEs,ALL,0.0002348,4.26e-05,0.0011288
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
