EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,32427,26917,55031
efficiency,1,0.241371045,0.163251818,0.345668803
efficiency,3,0.234084265,0.201969186,0.267868032
efficiency,6,0.213949423,0.172216618,0.258963332
efficiency,12,0.117261433,0.105999957,0.128034169
efficiency,24,0.036945307,0.030089747,0.044176571
efficiency,1000000,0.019837699,0.014890404,0.025503642
Discontinuations_due_to_AEs,ALL,0.00725043,0.004331333,0.012115206
Treatment_related_SAEs,ALL,0.000567176,0,0.077390851
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
