EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,1068548.911,1063972.62,1096397.825
efficiency,1,0.679704498,0.627822201,0.723556643
efficiency,3,0.80126183,0.761515399,0.836394233
efficiency,6,0.871583547,0.825493567,0.906249125
efficiency,12,0.839740495,0.803819609,0.870089216
efficiency,24,0.780439122,0.737365698,0.819277108
efficiency,1000000,0.714818471,0.650177154,0.76787096
Discontinuations_due_to_AEs,ALL,0.063912201,0.038780245,0.099239012
Sleep_Disorders_any_grade,ALL,0.071743235,0.027686223,0.168076706
Treatment_related_SAEs,ALL,0.021689852,0.00784048,0.057514597
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
