EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,98296,82336,172722
efficiency,1,0.161144977,0.130494505,0.195577583
efficiency,3,0.232225345,0.201969186,0.264752696
efficiency,6,0.24671783,0.215527252,0.278132303
efficiency,12,0.113937526,0.105999957,0.122262623
efficiency,24,0.049659466,0.045203193,0.054184754
efficiency,1000000,0.02810255,0.022619946,0.033988309
Discontinuations_due_to_AEs,ALL,0.003624685,0.002626628,0.005055655
Neuropsychiatric_Aes_any_grade,ALL,0.003560614,0.002140832,0.005521285
Sleep_Disorders_any_grade,ALL,0.001714653,0.000706318,0.003657736
Treatment_related_SAEs,ALL,0.000429496,0.00010346,0.001718543
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
