EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,97634,89477,109501
efficiency,1,0.121321488,0.085127909,0.169509315
efficiency,3,0.5266859,0.460838012,0.594740634
efficiency,6,0.752085993,0.683499457,0.806383563
efficiency,12,0.725247443,0.676173384,0.770051254
efficiency,24,0.633129516,0.567779961,0.6914446
efficiency,1000000,0.501501885,0.366985879,0.632647294
Treatment_related_SAEs,ALL,0.008488307,0.001534228,0.041451383
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
