EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,21372,17430,33548
efficiency,1,0.241371,0.1632518,0.3456688
efficiency,3,0.157467,0.1426172,0.1714475
efficiency,6,0.0992279,0.090126,0.1064098
efficiency,12,0.0490343,0.0472065,0.050532
efficiency,24,0.0196393,0.0175896,0.0213903
efficiency,1000000,0.0115857,0.0097347,0.0132372
Discontinuations_due_to_AEs,ALL,0.0057775,0.0037603,0.0084787
Treatment_related_SAEs,ALL,0.0005561,0,0.0186508
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
