EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,5858845.713,4207993.24,7509698.187
efficiency,1,0.671493072,0.572412861,0.758608855
efficiency,3,0.838943881,0.739471334,0.902196997
efficiency,6,0.859525532,0.723933332,0.932341001
efficiency,12,0.809702861,0.728189678,0.870089216
efficiency,24,0.79969651,0.731925264,0.855040633
Discontinuations_due_to_AEs,ALL,0.034459797,0.010745352,0.103000309
Sleep_Disorders_any_grade,ALL,0.103343465,0.05022537,0.190894131
Treatment_related_SAEs,ALL,0.008704062,0.000658103,0.102805374
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
