EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,5835598,4207844,7463353
efficiency,1,0.6901312,0.6294779,0.7413687
efficiency,3,0.2218998,0.2128142,0.2295344
efficiency,6,0.1089204,0.1035745,0.1129553
efficiency,12,0.0518134,0.0498411,0.0534549
efficiency,24,0.0232823,0.0218182,0.0245812
efficiency,1000000,0.0146122,0.0134614,0.0155974
Discontinuations_due_to_AEs,ALL,0.0022062,0.0015063,0.0032161
Neuropsychiatric_Aes_any_grade,ALL,0.0036637,0.0028375,0.004625
Sleep_Disorders_any_grade,ALL,0.0021658,0.0014267,0.0031903
Treatment_related_SAEs,ALL,0.0002645,3.65e-05,0.0017473
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
