EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,6282562,4424045,8141079
efficiency,1,0.248218527,0.199443531,0.298848028
efficiency,3,0.560252401,0.425894875,0.688414972
efficiency,6,0.854262284,0.800422984,0.89568981
efficiency,12,0.815243522,0.772115754,0.851896792
efficiency,24,0.764453961,0.716251075,0.807636258
Discontinuations_due_to_AEs,ALL,0.054296429,0.031557856,0.092899593
Neuropsychiatric_Aes_any_grade,ALL,0.071378406,0,0.989729036
Treatment_related_SAEs,ALL,0.006758885,0.001534228,0.023158296
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
