EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,3504976,2442402,4587066
efficiency,1,0.150449604,0.121321488,0.183752418
efficiency,3,0.22653825,0.193052491,0.264752696
efficiency,6,0.238129355,0.20571057,0.273660323
efficiency,12,0.113937526,0.102064493,0.126918807
efficiency,24,0.04935789,0.043121619,0.056006323
efficiency,1000000,0.024387708,0.018447845,0.031790129
Discontinuations_due_to_AEs,ALL,0.003130278,0.002033555,0.004804355
Neuropsychiatric_Aes_any_grade,ALL,0.002226451,0,0.123440334
Sleep_Disorders_any_grade,ALL,0.002308966,0.000816173,0.006078004
Treatment_related_SAEs,ALL,0.000139881,2.43792E-05,0.000656592
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
