EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,3735288,2665392,4937632
efficiency,1,0.746678406,0.704164135,0.785634461
efficiency,3,0.493782373,0.461009629,0.526204636
efficiency,6,0.323249616,0.289708237,0.357103788
efficiency,12,0.15420343,0.14240712,0.165761674
efficiency,24,0.071918378,0.063157834,0.080873364
efficiency,1000000,0.029232682,0,0.183399889
Discontinuations_due_to_AEs,ALL,0.001221944,0.000806799,0.001873174
Neuropsychiatric_Aes_any_grade,ALL,0.003150739,0.001445916,0.006849367
Sleep_Disorders_any_grade,ALL,0.002788752,0.001287113,0.005531425
Treatment_related_SAEs,ALL,0.000158073,4.26493E-05,0.000507401
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
