EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,515156,473995,564791
efficiency,1,0.690131192,0.629477874,0.741368744
efficiency,3,0.439957718,0.399954279,0.479215347
efficiency,6,0.279003927,0.239398746,0.319268969
efficiency,12,0.138742547,0.122862548,0.155310474
efficiency,24,0.054184754,0.046202941,0.063157834
efficiency,1000000,0.031646408,0.026398779,0.037323344
Discontinuations_due_to_AEs,ALL,0.002390962,0.001590193,0.003624685
Neuropsychiatric_Aes_any_grade,ALL,0.004203707,0.003150739,0.005521285
Sleep_Disorders_any_grade,ALL,0.002343521,0.00150173,0.003591878
Treatment_related_SAEs,ALL,0.00026697,3.65606E-05,0.001861205
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
