EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,3094097,2274542,3965907
efficiency,1,0.2482185,0.1994435,0.298848
efficiency,3,0.1598405,0.1255441,0.1907659
efficiency,6,0.1083966,0.1029668,0.112486
efficiency,12,0.05094,0.0488362,0.0526922
efficiency,24,0.0239422,0.0227611,0.0249743
Discontinuations_due_to_AEs,ALL,0.0014698,0.0008634,0.0024707
Neuropsychiatric_Aes_any_grade,ALL,0.001917,0,0.0192949
Treatment_related_SAEs,ALL,0.0001871,4.26e-05,0.0006362
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
