EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,316511.1933,292899.4698,411893.7416
efficiency,1,0.150449604,0.121321488,0.183752418
efficiency,3,0.537281861,0.474544605,0.60253369
efficiency,6,0.804436661,0.748884974,0.853161949
efficiency,12,0.765807963,0.725247443,0.803819609
efficiency,24,0.70323741,0.652814308,0.749240122
efficiency,1000000,0.588867805,0.488457503,0.687462435
Discontinuations_due_to_AEs,ALL,0.106730325,0.070661753,0.159176573
Neuropsychiatric_Aes_any_grade,ALL,0.077106637,0,0.991287689
Sleep_Disorders_any_grade,ALL,0.079850281,0.028966425,0.197060425
Treatment_related_SAEs,ALL,0.005023418,0.000877278,0.023367714
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
