EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,546823,515889,762460
efficiency,1,0.7466784,0.7041641,0.7856345
efficiency,3,0.2320701,0.2261433,0.2371791
efficiency,6,0.1132908,0.1101156,0.1157583
efficiency,12,0.0533567,0.0522098,0.0543115
efficiency,24,0.0255753,0.0245812,0.0263751
efficiency,1000000,0.0141154,0,0.019431
Discontinuations_due_to_AEs,ALL,0.0011718,0.0007846,0.0017579
Neuropsychiatric_Aes_any_grade,ALL,0.0028375,0.0013763,0.0055204
Sleep_Disorders_any_grade,ALL,0.0025406,0.0012316,0.0046321
Treatment_related_SAEs,ALL,0.0001572,4.26e-05,0.0004985
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
