EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,34120,27044,100081
efficiency,1,0.2308627,0.2308627,0.2308627
efficiency,3,0.1737963,0.1737963,0.1737963
efficiency,6,0.1066883,0.1066883,0.1066883
efficiency,12,0.050083,0.050083,0.050083
efficiency,24,0.0228625,0.0228625,0.0228625
efficiency,1000000,0.0136699,0.0136699,0.0136699
Discontinuations_due_to_AEs,ALL,0.0035073,0.0035073,0.0035073
Neuropsychiatric_Aes_any_grade,ALL,0.0062285,0.0062285,0.0062285
Sleep_Disorders_any_grade,ALL,0.0031381,0.0031381,0.0031381
Treatment_related_SAEs,ALL,0.0005905,0.0005905,0.0005905
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
