EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,117218,104441,183726
efficiency,1,0.121321488,0.085127909,0.169509315
efficiency,3,0.220678817,0.186096176,0.259978473
efficiency,6,0.2074071,0.174477192,0.239398746
efficiency,12,0.102064493,0.089682877,0.115286637
efficiency,24,0.0409203,0.034347126,0.047813073
efficiency,1000000,0.019151879,0.012621411,0.027434233
Treatment_related_SAEs,ALL,0.000236765,4.26493E-05,0.001175281
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
