EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,40957,32394,107773
efficiency,1,0.241371045,0.163251818,0.345668803
efficiency,3,0.550693216,0.491771539,0.607564658
efficiency,6,0.764113578,0.678263584,0.834408443
efficiency,12,0.776135505,0.739354352,0.806806015
efficiency,24,0.594843462,0.519650655,0.661885246
efficiency,1000000,0.513897545,0.417301658,0.605462822
Discontinuations_due_to_AEs,ALL,0.230463049,0.144668928,0.355197332
Treatment_related_SAEs,ALL,0.020216986,0,0.944964966
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
