EVENT,SUP_TREATMENT,BASE_VALUE,INF_VALUE,SUP_VALUE
adherent_month_cost,ALL,1077078,1069449,1149140
efficiency,1,0.6797045,0.6278222,0.7235566
efficiency,3,0.2167246,0.2077086,0.2245842
efficiency,6,0.1101156,0.1055118,0.1135164
efficiency,12,0.0521146,0.0503872,0.0535501
efficiency,24,0.024327,0.0232823,0.0252484
efficiency,1000000,0.0150935,0.0140106,0.015953
Discontinuations_due_to_AEs,ALL,0.0017224,0.0010574,0.0026317
Sleep_Disorders_any_grade,ALL,0.0019265,0.0007589,0.0043248
Treatment_related_SAEs,ALL,0.0005962,0.000217,0.0015546
test_cost,ALL,234170.724,206579.35,418990.0852
test_cost_high_charge,ALL,90899.87836,75630.98014,121615.9564
