EVENT,AGE,SEX,BASE_VALUE,INF_VALUE,SUP_VALUE
month_d_r,e02,F,2.38E-05,2.34E-05,2.39E-05
month_d_r,e03,F,4.30E-05,4.06E-05,4.40E-05
month_d_r,e04,F,5.33E-05,5.10E-05,5.35E-05
month_d_r,e05,F,6.11E-05,6.05E-05,6.25E-05
month_d_r,e06,F,7.41E-05,7.38E-05,7.70E-05
month_d_r,e07,F,9.30E-05,9.30E-05,9.94E-05
month_d_r,e08,F,0.000130699,0.000129673,0.000133158
month_d_r,e09,F,0.000179131,0.000179131,0.000190074
month_d_r,e10,F,0.000248073,0.000248073,0.0002809
month_d_r,e11,F,0.000370169,0.000370169,0.000438395
month_d_r,e12,F,0.00058786,0.00058786,0.000685405
month_d_r,e13,F,0.000915746,0.000915746,0.001053964
month_d_r,e14,F,0.001453989,0.001453989,0.001722241
month_d_r,e15,F,0.002443835,0.002443835,0.002865613
month_d_r,e16,F,0.006700214,0.006700214,0.006951142
month_d_r,e02,M,3.22E-05,3.14E-05,3.36E-05
month_d_r,e03,M,0.000133653,0.000133653,0.000148568
month_d_r,e04,M,0.000237203,0.000237203,0.000250384
month_d_r,e05,M,0.000241115,0.000238969,0.000249655
month_d_r,e06,M,0.000231654,0.000231654,0.000244776
month_d_r,e07,M,0.000224991,0.000224991,0.000243935
month_d_r,e08,M,0.000248287,0.000248287,0.000264634
month_d_r,e09,M,0.000291206,0.000291206,0.000317689
month_d_r,e10,M,0.000405876,0.000405876,0.000452727
month_d_r,e11,M,0.000585337,0.000585337,0.00071056
month_d_r,e12,M,0.000960149,0.000960149,0.001079471
month_d_r,e13,M,0.001448401,0.001448401,0.001628274
month_d_r,e14,M,0.002254751,0.002254751,0.002579469
month_d_r,e15,M,0.003578665,0.003578665,0.004101638
month_d_r,e16,M,0.007849539,0.007849539,0.008299418
incidence,e02,M,0.000200852,0.000200852,0.000200852
incidence,e03,M,0.037257974,0.037257974,0.037257974
incidence,e04,M,0.18387965,0.18387965,0.18387965
incidence,e05,M,0.195830321,0.195830321,0.195830321
incidence,e06,M,0.152848076,0.152848076,0.152848076
incidence,e07,M,0.061962722,0.061962722,0.061962722
incidence,e08,M,0.054129509,0.054129509,0.054129509
incidence,e09,M,0.042178838,0.042178838,0.042178838
incidence,e10,M,0.034345625,0.034345625,0.034345625
incidence,e11,M,0.0249056,0.0249056,0.0249056
incidence,e12,M,0.014260464,0.014260464,0.014260464
incidence,e13,M,0.008335342,0.008335342,0.008335342
incidence,e14,M,0.004217884,0.004217884,0.004217884
incidence,e15,M,0.001707239,0.001707239,0.001707239
incidence,e16,M,0.000602555,0.000602555,0.000602555
incidence,e02,F,0.000361533,0.000361533,0.000361533
incidence,e03,F,0.012954929,0.012954929,0.012954929
incidence,e04,F,0.025909858,0.025909858,0.025909858
incidence,e05,F,0.026612838,0.026612838,0.026612838
incidence,e06,F,0.028520929,0.028520929,0.028520929
incidence,e07,F,0.019984735,0.019984735,0.019984735
incidence,e08,F,0.019482606,0.019482606,0.019482606
incidence,e09,F,0.016469832,0.016469832,0.016469832
incidence,e10,F,0.013256206,0.013256206,0.013256206
incidence,e11,F,0.008636619,0.008636619,0.008636619
incidence,e12,F,0.006628103,0.006628103,0.006628103
incidence,e13,F,0.002711497,0.002711497,0.002711497
incidence,e14,F,0.000903832,0.000903832,0.000903832
incidence,e15,F,0.000702981,0.000702981,0.000702981
incidence,e16,F,0.000200852,0.000200852,0.000200852
base_qaly,e02,ALL,0.93,0.92562943,0.93437057
base_qaly,e03,ALL,0.93,0.92562943,0.93437057
base_qaly,e04,ALL,0.9,0.878147152,0.921852848
base_qaly,e05,ALL,0.9,0.878147152,0.921852848
base_qaly,e06,ALL,0.86,0.839604009,0.880395991
base_qaly,e07,ALL,0.86,0.839604009,0.880395991
base_qaly,e08,ALL,0.84,0.822517722,0.857482278
base_qaly,e09,ALL,0.84,0.822517722,0.857482278
base_qaly,e10,ALL,0.86,0.839604009,0.880395991
base_qaly,e11,ALL,0.86,0.839604009,0.880395991
base_qaly,e12,ALL,0.92,0.906888291,0.933111709
base_qaly,e13,ALL,0.92,0.906888291,0.933111709
base_qaly,e14,ALL,0.78,0.731923735,0.828076265
base_qaly,e15,ALL,0.78,0.731923735,0.828076265
base_qaly,e16,ALL,0.78,0.731923735,0.828076265
high_test_qaly,ALL,ALL,0.9,0.9,0.9
switch_cost,ALL,ALL,1085490.196,1043740.573,1476299.987
switch_qaly,ALL,ALL,0.86,0.86,0.86
