EVENT,AGE,BASE_VALUE,INF_VALUE,SUP_VALUE
month_d_r,e03,4.3e-05,4.06e-05,4.4e-05
month_d_r,e04,5.33e-05,5.1e-05,5.35e-05
month_d_r,e05,6.11e-05,6.05e-05,6.25e-05
month_d_r,e06,7.41e-05,7.38e-05,7.7e-05
month_d_r,e07,9.3e-05,9.3e-05,9.94e-05
month_d_r,e08,0.000130699,0.000129673,0.000133158
month_d_r,e09,0.000179131,0.000179131,0.000190074
month_d_r,e10,0.000248073,0.000248073,0.0002809
month_d_r,e11,0.000370169,0.000370169,0.000438395
month_d_r,e12,0.00058786,0.00058786,0.000685405
month_d_r,e13,0.000915746,0.000915746,0.001053964
month_d_r,e14,0.001453989,0.001453989,0.001722241
month_d_r,e15,0.002443835,0.002443835,0.002865613
month_d_r,e16,0.006700214,0.006700214,0.006951142
incidence,e03,0.127018299,0.127018299,0.127018299
incidence,e04,0.288482239,0.288482239,0.288482239
incidence,e05,0.249730894,0.249730894,0.249730894
incidence,e06,0.222820236,0.222820236,0.222820236
incidence,e07,0.081808396,0.081808396,0.081808396
incidence,e08,0.027987083,0.027987083,0.027987083
incidence,e09,0.002152853,0.002152853,0.002152853
base_qaly,e03,0.93,0.92562943,0.93437057
base_qaly,e04,0.9,0.878147152,0.921852848
base_qaly,e05,0.9,0.878147152,0.921852848
base_qaly,e06,0.86,0.839604009,0.880395991
base_qaly,e07,0.86,0.839604009,0.880395991
base_qaly,e08,0.84,0.822517722,0.857482278
base_qaly,e09,0.84,0.822517722,0.857482278
base_qaly,e10,0.86,0.839604009,0.880395991
base_qaly,e11,0.86,0.839604009,0.880395991
base_qaly,e12,0.92,0.906888291,0.933111709
base_qaly,e13,0.92,0.906888291,0.933111709
base_qaly,e14,0.78,0.731923735,0.828076265
base_qaly,e15,0.78,0.731923735,0.828076265
base_qaly,e16,0.78,0.731923735,0.828076265
high_test_qaly,ALL,0.9,0.9,0.9
switch_cost,ALL,1085490.196,1043740.573,1476299.987
switch_qaly,ALL,0.86,0.86,0.86
