iteration,medication_name,qaly,costs,acute_events,chronic_event,exit_reason,group
1,3TC__DRV_c,1.436030910791188,3828213.47107795,0,0,failure,PI
2,3TC__DRV_c,2.460327999715873,6481508.848313434,0,0,failure,PI
3,3TC__DRV_c,1.4220344682712898,3686797.905358527,0,0,failure,PI
4,3TC__DRV_c,1.521982907405584,3671896.882788682,0,0,failure,PI
5,3TC__DRV_c,2.4262795079506527,6937283.835062481,0,0,failure,PI
6,3TC__DRV_c,1.492459303440265,3850946.544253707,0,0,failure,PI
7,3TC__DRV_c,1.4208542420180947,4005954.2035312112,0,0,failure,PI
8,3TC__DRV_c,6.510889591438684,6749718.505711178,0,1,adverse_reaction,PI
9,3TC__DRV_c,1.5300365613480955,3653185.874236944,0,0,failure,PI
10,3TC__DRV_c,2.2859525999120245,6597038.846008318,0,0,failure,PI
1,3TC__DRV_r,2.398153818038684,5182690.36290871,0,0,failure,PI
2,3TC__DRV_r,2.389146030550401,5021634.467826953,0,0,failure,PI
3,3TC__DRV_r,1.4551540505537115,3286385.3216031203,0,0,failure,PI
4,3TC__DRV_r,2.3064110824212123,5475932.212278539,0,0,failure,PI
5,3TC__DRV_r,1.451598728910867,3399097.1769761457,0,0,failure,PI
6,3TC__DRV_r,1.4454203464184596,3210217.813411393,0,0,failure,PI
7,3TC__DRV_r,2.4062646954378324,5293200.332393485,0,0,failure,PI
8,3TC__DRV_r,1.5065240218516474,3004124.860286309,0,0,failure,PI
9,3TC__DRV_r,2.446241847464228,5327353.731791904,0,0,failure,PI
10,3TC__DRV_r,1.4335495955888122,2999402.635985587,0,0,failure,PI
1,3TC__DTG,1.447083548724518,4448138.113743799,0,0,failure,INSTI
2,3TC__DTG,1.429191852870322,4185007.5341195706,0,0,failure,INSTI
3,3TC__DTG,1.443939754784556,3858570.371061221,0,0,failure,INSTI
4,3TC__DTG,1.530287646122681,4014457.215932659,0,0,failure,INSTI
5,3TC__DTG,2.279037656388405,7368528.085849181,0,0,failure,INSTI
6,3TC__DTG,2.394665837361399,8391685.201512607,0,0,failure,INSTI
7,3TC__DTG,1.4611178687157276,4653480.373773359,0,0,failure,INSTI
8,3TC__DTG,1.4417393714540236,4210157.521747721,0,0,failure,INSTI
9,3TC__DTG,2.26686640564494,8736354.96610229,0,0,failure,INSTI
10,3TC__DTG,1.4293032430515882,4662861.842973821,0,0,failure,INSTI
1,3TC_ABC__DRV_c,1.4430350613708385,3714483.151908546,0,0,failure,PI
2,3TC_ABC__DRV_c,2.101945326587821,4076262.0792439375,0,1,failure,PI
3,3TC_ABC__DRV_c,1.5237515025173751,3643971.659789822,0,0,failure,PI
4,3TC_ABC__DRV_c,1.410431247669487,3682708.8825465017,0,0,failure,PI
5,3TC_ABC__DRV_c,2.420899038886246,7154349.33795386,0,0,failure,PI
6,3TC_ABC__DRV_c,1.4997121787626586,3845196.348968246,0,0,failure,PI
