Terapia,Grupo,Probabilidad,Umbral
3TC_ABC__DRV_c,PI,0.0068,21088903.3
3TC_ABC__DRV_r,PI,0.029433333333333332,21088903.3
3TC__DRV_c,PI,0.007066666666666666,21088903.3
3TC__DRV_r,PI,0.031933333333333334,21088903.3
3TC__DTG,INSTI,0.0643,21088903.3
3TC__FTC__DRV_c,PI,0.0004333333333333333,21088903.3
3TC__FTC__DRV_r,PI,0.0009333333333333333,21088903.3
ABC_3TC_DTG,INSTI,0.0574,21088903.3
ABC_3TC__ATV_r,PI,0.04256666666666667,21088903.3
ABC_3TC__DRV_r,PI,0.0304,21088903.3
ABC_3TC__DTG,INSTI,0.06256666666666667,21088903.3
ABC_3TC__EFV,NNRTI,0.05023333333333333,21088903.3
ABC_3TC__LPV_r,PI,0.0276,21088903.3
ABC_3TC__NVP,NNRTI,0.0635,21088903.3
ABC_3TC__RAL,INSTI,0.018366666666666667,21088903.3
AZT_3TC_NVP,NNRTI,0.06213333333333333,21088903.3
AZT_3TC__ATV_r,PI,0.04036666666666667,21088903.3
AZT_3TC__LPV_r,PI,0.030866666666666667,21088903.3
AZT_3TC__NVP,NNRTI,0.06566666666666666,21088903.3
DRV_c,PI,0.009033333333333334,21088903.3
DTG_3TC,INSTI,0.0,21088903.3
TAF_FTC_BIC,INSTI,0.0,21088903.3
TAF_FTC_EVG_c,INSTI,0.0,21088903.3
TAF_FTC_RPV,NNRTI,0.0,21088903.3
TAF_FTC__DOR,NNRTI,0.0,21088903.3
TAF_FTC__DRV_c,PI,0.0,21088903.3
TAF_FTC__DRV_r,PI,0.0,21088903.3
TAF_FTC__DTG,INSTI,0.0,21088903.3
TAF_FTC__RAL,INSTI,0.0,21088903.3
TAF_FTC__RPV,NNRTI,0.0,21088903.3
TAF__DRV_c,PI,0.0,21088903.3
TDF_FTC_EVG_c,INSTI,0.048766666666666666,21088903.3
TDF_FTC_RPV,NNRTI,0.021066666666666668,21088903.3
TDF_FTC__ATV_r,PI,0.0296,21088903.3
TDF_FTC__DOR,NNRTI,0.0,21088903.3
TDF_FTC__DRV_c,PI,0.004866666666666667,21088903.3
TDF_FTC__DRV_r,PI,0.019833333333333335,21088903.3
TDF_FTC__DTG,INSTI,0.046933333333333334,21088903.3
TDF_FTC__EFV,NNRTI,0.045233333333333334,21088903.3
TDF_FTC__LPV_r,PI,0.023266666666666668,21088903.3
TDF_FTC__NVP,NNRTI,0.047,21088903.3
TDF_FTC__RAL,INSTI,0.011933333333333334,21088903.3
TDF_FTC__RPV,NNRTI,3.3333333333333335e-05,21088903.3
3TC_ABC__DRV_c,PI,0.0068,21885985.084848486
3TC_ABC__DRV_r,PI,0.029366666666666666,21885985.084848486
3TC__DRV_c,PI,0.0071333333333333335,21885985.084848486
3TC__DRV_r,PI,0.0318,21885985.084848486
3TC__DTG,INSTI,0.0655,21885985.084848486
3TC__FTC__DRV_c,PI,0.0005,21885985.084848486
3TC__FTC__DRV_r,PI,0.0011666666666666668,21885985.084848486
ABC_3TC_DTG,INSTI,0.05826666666666667,21885985.084848486
ABC_3TC__ATV_r,PI,0.042133333333333335,21885985.084848486
ABC_3TC__DRV_r,PI,0.0301,21885985.084848486
ABC_3TC__DTG,INSTI,0.06426666666666667,21885985.084848486
ABC_3TC__EFV,NNRTI,0.0494,21885985.084848486
ABC_3TC__LPV_r,PI,0.026966666666666667,21885985.084848486
ABC_3TC__NVP,NNRTI,0.06253333333333333,21885985.084848486
ABC_3TC__RAL,INSTI,0.0198,21885985.084848486
AZT_3TC_NVP,NNRTI,0.061,21885985.084848486
AZT_3TC__ATV_r,PI,0.039933333333333335,21885985.084848486
AZT_3TC__LPV_r,PI,0.0304,21885985.084848486
AZT_3TC__NVP,NNRTI,0.06446666666666667,21885985.084848486
DRV_c,PI,0.009233333333333333,21885985.084848486
DTG_3TC,INSTI,0.0,21885985.084848486
TAF_FTC_BIC,INSTI,0.0,21885985.084848486
TAF_FTC_EVG_c,INSTI,0.0,21885985.084848486
TAF_FTC_RPV,NNRTI,0.0,21885985.084848486
TAF_FTC__DOR,NNRTI,0.0,21885985.084848486
TAF_FTC__DRV_c,PI,0.0,21885985.084848486
TAF_FTC__DRV_r,PI,0.0,21885985.084848486
TAF_FTC__DTG,INSTI,0.0,21885985.084848486
TAF_FTC__RAL,INSTI,0.0,21885985.084848486
TAF_FTC__RPV,NNRTI,0.0,21885985.084848486
TAF__DRV_c,PI,0.0,21885985.084848486
TDF_FTC_EVG_c,INSTI,0.04933333333333333,21885985.084848486
TDF_FTC_RPV,NNRTI,0.021466666666666665,21885985.084848486
TDF_FTC__ATV_r,PI,0.0294,21885985.084848486
TDF_FTC__DOR,NNRTI,0.0,21885985.084848486
TDF_FTC__DRV_c,PI,0.004866666666666667,21885985.084848486
TDF_FTC__DRV_r,PI,0.020033333333333334,21885985.084848486
TDF_FTC__DTG,INSTI,0.04753333333333333,21885985.084848486
TDF_FTC__EFV,NNRTI,0.044533333333333334,21885985.084848486
TDF_FTC__LPV_r,PI,0.023,21885985.084848486
TDF_FTC__NVP,NNRTI,0.046033333333333336,21885985.084848486
TDF_FTC__RAL,INSTI,0.0131,21885985.084848486
TDF_FTC__RPV,NNRTI,6.666666666666667e-05,21885985.084848486
3TC_ABC__DRV_c,PI,0.006833333333333334,22683066.86969697
3TC_ABC__DRV_r,PI,0.029333333333333333,22683066.86969697
3TC__DRV_c,PI,0.0071333333333333335,22683066.86969697
3TC__DRV_r,PI,0.03153333333333333,22683066.86969697
3TC__DTG,INSTI,0.06616666666666667,22683066.86969697
3TC__FTC__DRV_c,PI,0.0005333333333333334,22683066.86969697
3TC__FTC__DRV_r,PI,0.0015666666666666667,22683066.86969697
ABC_3TC_DTG,INSTI,0.059133333333333336,22683066.86969697
ABC_3TC__ATV_r,PI,0.04186666666666667,22683066.86969697
ABC_3TC__DRV_r,PI,0.030166666666666668,22683066.86969697
ABC_3TC__DTG,INSTI,0.06533333333333333,22683066.86969697
ABC_3TC__EFV,NNRTI,0.0487,22683066.86969697
ABC_3TC__LPV_r,PI,0.0269,22683066.86969697
ABC_3TC__NVP,NNRTI,0.0616,22683066.86969697
ABC_3TC__RAL,INSTI,0.0214,22683066.86969697
AZT_3TC_NVP,NNRTI,0.06026666666666667,22683066.86969697
AZT_3TC__ATV_r,PI,0.0391,22683066.86969697
AZT_3TC__LPV_r,PI,0.030066666666666665,22683066.86969697
AZT_3TC__NVP,NNRTI,0.0634,22683066.86969697
DRV_c,PI,0.009266666666666666,22683066.86969697
DTG_3TC,INSTI,0.0,22683066.86969697
TAF_FTC_BIC,INSTI,0.0,22683066.86969697
TAF_FTC_EVG_c,INSTI,0.0,22683066.86969697
TAF_FTC_RPV,NNRTI,0.0,22683066.86969697
