Terapia,Grupo,Probabilidad,Disponibilidad a pagar
3TC_ABC__DRV_c,PI,0.0,21088903.3
3TC_ABC__DRV_r,PI,0.0,21088903.3
3TC__DRV_c,PI,0.1,21088903.3
3TC__DRV_r,PI,0.0,21088903.3
3TC__DTG,INSTI,0.0,21088903.3
3TC__FTC__DRV_c,PI,0.0,21088903.3
3TC__FTC__DRV_r,PI,0.0,21088903.3
ABC_3TC_DTG,INSTI,0.0,21088903.3
ABC_3TC__ATV_r,PI,0.0,21088903.3
ABC_3TC__DRV_r,PI,0.0,21088903.3
ABC_3TC__DTG,INSTI,0.0,21088903.3
ABC_3TC__EFV,NNRTI,0.1,21088903.3
ABC_3TC__LPV_r,PI,0.2,21088903.3
ABC_3TC__NVP,NNRTI,0.0,21088903.3
ABC_3TC__RAL,INSTI,0.0,21088903.3
AZT_3TC_NVP,NNRTI,0.2,21088903.3
AZT_3TC__ATV_r,PI,0.1,21088903.3
AZT_3TC__LPV_r,PI,0.0,21088903.3
AZT_3TC__NVP,NNRTI,0.0,21088903.3
DRV_c,PI,0.0,21088903.3
DTG_3TC,INSTI,0.0,21088903.3
TAF_FTC_BIC,INSTI,0.0,21088903.3
TAF_FTC_EVG_c,INSTI,0.0,21088903.3
TAF_FTC_RPV,NNRTI,0.0,21088903.3
TAF_FTC__DOR,NNRTI,0.0,21088903.3
TAF_FTC__DRV_c,PI,0.0,21088903.3
TAF_FTC__DRV_r,PI,0.0,21088903.3
TAF_FTC__DTG,INSTI,0.0,21088903.3
TAF_FTC__RAL,INSTI,0.0,21088903.3
TAF_FTC__RPV,NNRTI,0.0,21088903.3
TAF__DRV_c,PI,0.0,21088903.3
TDF_FTC_EVG_c,INSTI,0.0,21088903.3
TDF_FTC_RPV,NNRTI,0.1,21088903.3
TDF_FTC__ATV_r,PI,0.0,21088903.3
TDF_FTC__DOR,NNRTI,0.0,21088903.3
TDF_FTC__DRV_c,PI,0.0,21088903.3
TDF_FTC__DRV_r,PI,0.1,21088903.3
TDF_FTC__DTG,INSTI,0.0,21088903.3
TDF_FTC__EFV,NNRTI,0.1,21088903.3
TDF_FTC__LPV_r,PI,0.0,21088903.3
TDF_FTC__NVP,NNRTI,0.0,21088903.3
TDF_FTC__RAL,INSTI,0.0,21088903.3
TDF_FTC__RPV,NNRTI,0.0,21088903.3
3TC_ABC__DRV_c,PI,0.0,21885985.084848486
3TC_ABC__DRV_r,PI,0.0,21885985.084848486
3TC__DRV_c,PI,0.1,21885985.084848486
3TC__DRV_r,PI,0.0,21885985.084848486
3TC__DTG,INSTI,0.0,21885985.084848486
3TC__FTC__DRV_c,PI,0.0,21885985.084848486
3TC__FTC__DRV_r,PI,0.0,21885985.084848486
ABC_3TC_DTG,INSTI,0.0,21885985.084848486
ABC_3TC__ATV_r,PI,0.0,21885985.084848486
ABC_3TC__DRV_r,PI,0.0,21885985.084848486
ABC_3TC__DTG,INSTI,0.0,21885985.084848486
ABC_3TC__EFV,NNRTI,0.1,21885985.084848486
ABC_3TC__LPV_r,PI,0.2,21885985.084848486
ABC_3TC__NVP,NNRTI,0.0,21885985.084848486
ABC_3TC__RAL,INSTI,0.0,21885985.084848486
AZT_3TC_NVP,NNRTI,0.2,21885985.084848486
AZT_3TC__ATV_r,PI,0.1,21885985.084848486
AZT_3TC__LPV_r,PI,0.0,21885985.084848486
AZT_3TC__NVP,NNRTI,0.0,21885985.084848486
DRV_c,PI,0.0,21885985.084848486
DTG_3TC,INSTI,0.0,21885985.084848486
TAF_FTC_BIC,INSTI,0.0,21885985.084848486
TAF_FTC_EVG_c,INSTI,0.0,21885985.084848486
TAF_FTC_RPV,NNRTI,0.0,21885985.084848486
TAF_FTC__DOR,NNRTI,0.0,21885985.084848486
TAF_FTC__DRV_c,PI,0.0,21885985.084848486
TAF_FTC__DRV_r,PI,0.0,21885985.084848486
TAF_FTC__DTG,INSTI,0.0,21885985.084848486
TAF_FTC__RAL,INSTI,0.0,21885985.084848486
TAF_FTC__RPV,NNRTI,0.0,21885985.084848486
TAF__DRV_c,PI,0.0,21885985.084848486
TDF_FTC_EVG_c,INSTI,0.0,21885985.084848486
TDF_FTC_RPV,NNRTI,0.1,21885985.084848486
TDF_FTC__ATV_r,PI,0.0,21885985.084848486
TDF_FTC__DOR,NNRTI,0.0,21885985.084848486
TDF_FTC__DRV_c,PI,0.0,21885985.084848486
TDF_FTC__DRV_r,PI,0.1,21885985.084848486
TDF_FTC__DTG,INSTI,0.0,21885985.084848486
TDF_FTC__EFV,NNRTI,0.1,21885985.084848486
TDF_FTC__LPV_r,PI,0.0,21885985.084848486
TDF_FTC__NVP,NNRTI,0.0,21885985.084848486
TDF_FTC__RAL,INSTI,0.0,21885985.084848486
TDF_FTC__RPV,NNRTI,0.0,21885985.084848486
3TC_ABC__DRV_c,PI,0.0,22683066.86969697
3TC_ABC__DRV_r,PI,0.0,22683066.86969697
3TC__DRV_c,PI,0.1,22683066.86969697
3TC__DRV_r,PI,0.0,22683066.86969697
3TC__DTG,INSTI,0.0,22683066.86969697
3TC__FTC__DRV_c,PI,0.0,22683066.86969697
3TC__FTC__DRV_r,PI,0.0,22683066.86969697
ABC_3TC_DTG,INSTI,0.0,22683066.86969697
ABC_3TC__ATV_r,PI,0.0,22683066.86969697
ABC_3TC__DRV_r,PI,0.0,22683066.86969697
ABC_3TC__DTG,INSTI,0.0,22683066.86969697
ABC_3TC__EFV,NNRTI,0.1,22683066.86969697
ABC_3TC__LPV_r,PI,0.2,22683066.86969697
ABC_3TC__NVP,NNRTI,0.0,22683066.86969697
ABC_3TC__RAL,INSTI,0.0,22683066.86969697
AZT_3TC_NVP,NNRTI,0.2,22683066.86969697
AZT_3TC__ATV_r,PI,0.1,22683066.86969697
AZT_3TC__LPV_r,PI,0.0,22683066.86969697
AZT_3TC__NVP,NNRTI,0.0,22683066.86969697
DRV_c,PI,0.0,22683066.86969697
